id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
5059090271093,JKPLXA42,Hawes & Curtis Tailored Fit Cream 1913 Linen Suit Jacket,http://www.hawesandcurtis.com/cream-double-breasted-linen-tailored-suit-jacket-1913-collection-jkplxa42-h68,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLXA42-H68-203243-1400px-1820px.jpg,559.00 USD,,in stock,Formalwear,TRUE,TRUE
5059090836216,WCPLCA42,Hawes & Curtis Tailored Fit Cream 1913 Linen Suit Vest,http://www.hawesandcurtis.com/cream-linen-tailored-italian-vest-1913-collection-wcplca42-h68,https://handcmediastorage.blob.core.windows.net/productimages/WC/WCPLCA42-H68-204908-1400px-1820px.jpg,180.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056568783,TLPZA030,Hawes & Curtis Red Suit Pants,http://www.hawesandcurtis.com/red-suit-pants-tlpza030-l01,https://handcmediastorage.blob.core.windows.net/productimages/TL/TLPZA030-L01-198053-1400px-1820px.jpg,60.00 USD,,in stock,Formalwear,TRUE,TRUE
5059090821885,TRPRCS72,Hawes & Curtis Slim Fit Mid Blue Sharkskin Suit Pants,http://www.hawesandcurtis.com/mid-blue-sharkskin-slim-suit-pants-trprcs72-b58,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRCS72-B58-203973-1400px-1820px.jpg,260.00 USD,,in stock,Formalwear,TRUE,TRUE
5059090821984,WCPRCS72,Hawes & Curtis Slim Fit Mid Blue Sharkskin Suit Vest,http://www.hawesandcurtis.com/mid-blue-sharkskin-slim-fit-vest-wcprcs72-b58,https://handcmediastorage.blob.core.windows.net/productimages/WC/WCPRCS72-B58-204001-1400px-1820px.jpg,210.00 USD,,in stock,Formalwear,TRUE,TRUE
JKSRUS43-F30V,JKSRUS432P,Hawes & Curtis Slim Fit Charcoal Chalk Stripe Suit,http://www.hawesandcurtis.com/charcoal-chalk-stripe-slim-suit-jksrus432p-f30v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSRUS432P-F30V-210963-1400px-1820px.jpg,699.00 USD,569.00 USD,in stock,Formalwear,TRUE,TRUE
5063056776614,JKPRIS27,Hawes & Curtis Slim Fit Midnight Blue Semi Plain Suit Jacket,http://www.hawesandcurtis.com/midnight-blue-slim-fit-suit-jacket-jkpris27-b51,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRIS27-B51-201204-1400px-1820px.jpg,399.00 USD,169.00 USD,in stock,Formalwear,TRUE,TRUE
5063056919318,JKPRJS13,Hawes & Curtis Slim Fit Navy Birdseye Suit Jacket,http://www.hawesandcurtis.com/slim-fit-navy-birdseye-suit-jacket-jkprjs13-g01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRJS13-G01-210149-1400px-1820px.jpg,439.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056938487,TRPVJT27,Hawes & Curtis Tailored Fit Navy Semi Plain 1913 Suit Pants,http://www.hawesandcurtis.com/tailored-fit-navy-semi-plain-1913-suit-trousers-trpvjt27-g01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPVJT27-G01-209994-1400px-1820px.jpg,320.00 USD,,in stock,Formalwear,TRUE,TRUE
JKPVJT27-G01V,JKPVJT272P,Hawes & Curtis Tailored Fit Navy Semi Plain 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-navy-semi-plain-1913-suit-jkpvjt272p-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT272P-G01V-209984-1400px-1820px.jpg,879.00 USD,,in stock,Formalwear,TRUE,TRUE
JKPRAS99-G01V,JKPRAS993P,Hawes & Curtis Slim Fit Navy Dinner Suit,http://www.hawesandcurtis.com/mens-navy-3-piece-slim-fit-dinner-suit-jkpras993p-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRAS993P-G01V-203892-1400px-1820px.jpg,959.00 USD,319.00 USD,in stock,Formalwear,TRUE,TRUE
JKPRAC03-G01V,JKPRAC03,Hawes & Curtis Classic Fit Navy Twill Suit,http://www.hawesandcurtis.com/mens-navy-twill-classic-fit-suit-jkprac03-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRAC03-G01V-208979-1400px-1820px.jpg,599.00 USD,439.00 USD,in stock,Formalwear,TRUE,TRUE
5063056658231,JKPVAS49,Hawes & Curtis Slim Fit Navy Suit Jacket,http://www.hawesandcurtis.com/navy-italian-natural-stretch-wool-slim-fit-suit1-jkpvas49-g01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVAS49-G01-189454-1400px-1820px.jpg,529.00 USD,,in stock,Formalwear,TRUE,TRUE
